date,close
2021/4/7,36.74
2021/4/6,36.75
2021/4/2,37.51
2021/4/1,37.56
2021/3/31,36.28
2021/3/30,36.27
2021/3/29,36.73
2021/3/26,36.85
2021/3/25,36.6
2021/3/24,36.48
2021/3/23,36.41
2021/3/22,36.06
2021/3/19,35.53
2021/3/18,35.01
2021/3/17,35.01
2021/3/16,35.28
2021/3/15,35.06
2021/3/12,35.24
2021/3/11,35.41
2021/3/10,35.47
2021/3/9,35.5
2021/3/8,35.27
2021/3/5,33.9
2021/3/4,32.99
2021/3/3,32.46
2021/3/2,31.6
2021/3/1,32.12
2021/2/26,31.99
2021/2/25,32.18
2021/2/24,31.82
2021/2/23,32.09
2021/2/22,32.17
2021/2/19,32.27
2021/2/18,31.99
2021/2/10,32.28
2021/2/9,32.25
2021/2/8,30.93
2021/2/5,30.85
2021/2/4,30.64
2021/2/3,31.01
2021/2/2,31.16
2021/2/1,31.05
2021/1/29,31.35
2021/1/28,31.35
2021/1/27,31.02
2021/1/26,31.28
2021/1/25,31.9
2021/1/22,31.82
2021/1/21,31.56
2021/1/20,31.65
2021/1/19,31.1
2021/1/18,30.48
2021/1/15,30.41
2021/1/14,30.46
2021/1/13,30.1
2021/1/12,28.91
2021/1/11,30.49
2021/1/8,29.47
2021/1/7,29.04
2021/1/6,29.69
2021/1/5,28.41
2021/1/4,27.94
2020/12/31,28.41
2020/12/30,28.37
2020/12/29,28.24
2020/12/28,28.88
2020/12/25,28.85
2020/12/24,28.39
2020/12/23,28.16
2020/12/22,28.34
2020/12/21,28.26
2020/12/18,28.36
2020/12/17,28.45
2020/12/16,28.44
2020/12/15,28.29
2020/12/14,28.38
2020/12/11,28.44
2020/12/10,28.38
2020/12/9,28.37
2020/12/8,28.17
2020/12/7,28.09
2020/12/4,28.19
2020/12/3,27.85
2020/12/2,28
2020/12/1,27.71
2020/11/30,27.47
2020/11/29,27.8
2020/11/28,28.08
2020/11/27,28.17
2020/11/26,28.11
2020/11/25,28.15
2020/11/24,28.22
2020/11/23,28.09
2020/11/22,27.99
2020/11/21,27.97
2020/11/20,27.98
2020/11/19,27.89
2020/11/18,28.19
2020/11/17,28.02
2020/11/16,27.92
2020/11/15,28.06
2020/11/14,27.8
2020/11/13,27.79
2020/11/12,27.79
2020/11/11,27.83
2020/11/10,27.39
2020/11/9,27.49
2020/11/6,27.4
2020/11/5,27.68
2020/11/4,27.21
2020/11/3,27.89
2020/11/2,27.81
2020/10/30,27.47
2020/10/29,27.49
2020/10/28,27.34
2020/10/27,27.21
2020/10/26,27.5
2020/10/23,27.5
2020/10/22,27.88
2020/10/21,27.48
2020/10/20,27.89
2020/10/19,27.22
2020/10/16,27.78
2020/10/15,27.11
2020/10/14,27.45
2020/10/13,28.42
2020/10/12,27.84
2020/10/9,27.24
2020/9/30,27.53
2020/9/29,27.84
2020/9/28,27.5
2020/9/25,27.97
2020/9/24,27.41
2020/9/23,27.99
2020/9/22,27.31
2020/9/21,27.89
2020/9/18,27.57
2020/9/17,28
2020/9/16,27.67
2020/9/15,28.01
2020/9/14,27.35
2020/9/11,28.05
2020/9/10,27.87
2020/9/9,27.86
2020/9/8,27.54
2020/9/7,27.81
2020/9/4,27.7
2020/9/3,27.81
2020/9/2,27.8
2020/9/1,28.09
2020/8/31,27.5
2020/8/28,27.69
2020/8/27,27.92
2020/8/26,27.95
2020/8/25,28.06
2020/8/24,28.26
2020/8/21,28.12
2020/8/20,28.1
2020/8/19,28.26
2020/8/18,28.04
2020/8/17,28.3
2020/8/14,28.02
2020/8/13,28.29
2020/8/12,28
2020/8/11,28.02
2020/8/10,28.14
2020/8/7,28.2
2020/8/6,28
2020/8/5,28
2020/8/4,27.9
2020/8/3,28.12
2020/7/31,28.35
2020/7/30,28.02
2020/7/29,28.36
2020/7/28,28.42
2020/7/27,27.81
2020/7/24,28.23
2020/7/23,28.42
2020/7/22,28.76
2020/7/21,27.98
2020/7/20,28.48
2020/7/17,27.86
2020/7/16,27.39
2020/7/15,27.05
2020/7/14,27.47
2020/7/13,27.2
2020/7/10,27.54
2020/7/9,27.42
2020/7/8,27.04
2020/7/7,27.09
2020/7/6,27.11
2020/7/3,27.49
2020/7/2,27.35
2020/7/1,27.6
2020/6/30,27.55
2020/6/29,27.32
2020/6/24,27.33
2020/6/23,27.33
2020/6/22,27.49
2020/6/19,27.47
